accion	origen	destino	motivo
MOVIDO	emu/ROMS/ATARI2600/Congo Bongo (NA).png	emu/MEDIA/ATARI2600/Congo Bongo (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cookie Monster Munch (NA).png	emu/MEDIA/ATARI2600/Cookie Monster Munch (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cosmic Ark (NA).png	emu/MEDIA/ATARI2600/Cosmic Ark (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cosmic Commuter (NA).png	emu/MEDIA/ATARI2600/Cosmic Commuter (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cosmic Creeps (NA).png	emu/MEDIA/ATARI2600/Cosmic Creeps (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cosmic Swarm (NA).png	emu/MEDIA/ATARI2600/Cosmic Swarm (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Crack'ed (Prototype).png	emu/MEDIA/ATARI2600/Crack'ed (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Crackpots (NA).png	emu/MEDIA/ATARI2600/Crackpots (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Crash Dive (NA).png	emu/MEDIA/ATARI2600/Crash Dive (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Crazy Climber (NA).png	emu/MEDIA/ATARI2600/Crazy Climber (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cross Force (NA).png	emu/MEDIA/ATARI2600/Cross Force (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Crossbow (NA).png	emu/MEDIA/ATARI2600/Crossbow (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cruise Missile (NA).png	emu/MEDIA/ATARI2600/Cruise Missile (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Crypts of Chaos (NA).png	emu/MEDIA/ATARI2600/Crypts of Chaos (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Crystal Castles (NA).png	emu/MEDIA/ATARI2600/Crystal Castles (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cubicolor (Prototype).png	emu/MEDIA/ATARI2600/Cubicolor (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Custer's Revenge (NA).png	emu/MEDIA/ATARI2600/Custer's Revenge (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dark Cavern (NA).png	emu/MEDIA/ATARI2600/Dark Cavern (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dark Chambers (NA).png	emu/MEDIA/ATARI2600/Dark Chambers (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Deadly Duck (NA).png	emu/MEDIA/ATARI2600/Deadly Duck (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Death Trap (NA).png	emu/MEDIA/ATARI2600/Death Trap (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Defender (NA).png	emu/MEDIA/ATARI2600/Defender (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Defender II (NA).png	emu/MEDIA/ATARI2600/Defender II (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Demolition Herby (NA).png	emu/MEDIA/ATARI2600/Demolition Herby (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Demon Attack (NA, Rev 1).png	emu/MEDIA/ATARI2600/Demon Attack (NA, Rev 1).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Demons to Diamonds (NA).png	emu/MEDIA/ATARI2600/Demons to Diamonds (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Depth Charge (Prototype).png	emu/MEDIA/ATARI2600/Depth Charge (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Desert Falcon (NA).png	emu/MEDIA/ATARI2600/Desert Falcon (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Diagnostic Cartridge (NA).png	emu/MEDIA/ATARI2600/Diagnostic Cartridge (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dice Puzzle (NA).png	emu/MEDIA/ATARI2600/Dice Puzzle (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dig Dug (NA).png	emu/MEDIA/ATARI2600/Dig Dug (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dishaster (NA).png	emu/MEDIA/ATARI2600/Dishaster (NA).png	carátula a MEDIA
