accion	origen	destino	motivo
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1948 (19xx)(Sovereign).prg	emu/ROMS/C64/PRG/#/1948 (19xx)(Sovereign).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Mastertronic)(es).prg	emu/ROMS/C64/PRG/#/1985 - The Day After (1984)(Mastertronic)(es).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Mastertronic)(es)[a].prg	emu/EXTRAS/C64-PRG-variantes/#/1985 - The Day After (1984)(Mastertronic)(es)[a].prg	variante de 1985 - The Day After (1984)(Mastertronic)(es).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Mastertronic).prg	emu/ROMS/C64/PRG/#/1985 - The Day After (1984)(Mastertronic).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Mastertronic)[cr MHI].prg	emu/EXTRAS/C64-PRG-variantes/#/1985 - The Day After (1984)(Mastertronic)[cr MHI].prg	variante de 1985 - The Day After (1984)(Mastertronic).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Mastertronic)[h CPX].prg	emu/EXTRAS/C64-PRG-variantes/#/1985 - The Day After (1984)(Mastertronic)[h CPX].prg	variante de 1985 - The Day After (1984)(Mastertronic).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Mastertronic)[h Crackman].prg	emu/EXTRAS/C64-PRG-variantes/#/1985 - The Day After (1984)(Mastertronic)[h Crackman].prg	variante de 1985 - The Day After (1984)(Mastertronic).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Mastertronic)[h The Crackin'Ltd].prg	emu/EXTRAS/C64-PRG-variantes/#/1985 - The Day After (1984)(Mastertronic)[h The Crackin'Ltd].prg	variante de 1985 - The Day After (1984)(Mastertronic).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1985 - The Day After (1984)(Virgin Mastertronic)[cr Talent][t +1 Talent].prg	emu/ROMS/C64/PRG/#/1985 - The Day After (1984)(Virgin Mastertronic)[cr Talent][t +1 Talent].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1991 World Cup Knockout, The (1991)(ET Software).prg	emu/ROMS/C64/PRG/#/1991 World Cup Knockout, The (1991)(ET Software).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1991 World Cup Knockout, The (1991)(ET Software)[cr P].prg	emu/EXTRAS/C64-PRG-variantes/#/1991 World Cup Knockout, The (1991)(ET Software)[cr P].prg	variante de 1991 World Cup Knockout, The (1991)(ET Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1994 - Ten Years After (1984)(Visions Software).prg	emu/ROMS/C64/PRG/#/1994 - Ten Years After (1984)(Visions Software).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1994 - Ten Years After (1984)(Visions Software)[a2].prg	emu/EXTRAS/C64-PRG-variantes/#/1994 - Ten Years After (1984)(Visions Software)[a2].prg	variante de 1994 - Ten Years After (1984)(Visions Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1994 - Ten Years After (1984)(Visions Software)[a3].prg	emu/EXTRAS/C64-PRG-variantes/#/1994 - Ten Years After (1984)(Visions Software)[a3].prg	variante de 1994 - Ten Years After (1984)(Visions Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1994 - Ten Years After (1984)(Visions Software)[a4].prg	emu/EXTRAS/C64-PRG-variantes/#/1994 - Ten Years After (1984)(Visions Software)[a4].prg	variante de 1994 - Ten Years After (1984)(Visions Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1994 - Ten Years After (1984)(Visions Software)[a5].prg	emu/EXTRAS/C64-PRG-variantes/#/1994 - Ten Years After (1984)(Visions Software)[a5].prg	variante de 1994 - Ten Years After (1984)(Visions Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1994 - Ten Years After (1984)(Visions Software)[a].prg	emu/EXTRAS/C64-PRG-variantes/#/1994 - Ten Years After (1984)(Visions Software)[a].prg	variante de 1994 - Ten Years After (1984)(Visions Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1994 - Ten Years After (1984)(Visions Software)[cr MHI][b].prg	emu/EXTRAS/C64-PRG-variantes/#/1994 - Ten Years After (1984)(Visions Software)[cr MHI][b].prg	variante de 1994 - Ten Years After (1984)(Visions Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1st Bonus Game (19xx)(-)[b].prg	emu/ROMS/C64/PRG/#/1st Bonus Game (19xx)(-)[b].prg	PRG TOSEC: mejor versión del juego (solo existe como volcado malo [b])
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1st Division Manager (1993)(Codemasters)[cr X-R].prg	emu/ROMS/C64/PRG/#/1st Division Manager (1993)(Codemasters)[cr X-R].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1st Division Manager (1993)(Codemasters)[h ILS].prg	emu/EXTRAS/C64-PRG-variantes/#/1st Division Manager (1993)(Codemasters)[h ILS].prg	variante de 1st Division Manager (1993)(Codemasters)[cr X-R].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1st Division Manager (1993)(Codemasters)[h X-Factory].prg	emu/EXTRAS/C64-PRG-variantes/#/1st Division Manager (1993)(Codemasters)[h X-Factory].prg	variante de 1st Division Manager (1993)(Codemasters)[cr X-R].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1st DiVSN Manager (1993)(Codemasters)[cr SCS].prg	emu/ROMS/C64/PRG/#/1st DiVSN Manager (1993)(Codemasters)[cr SCS].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2 Player Super League (1991)(Cult Games)[cr RTI].prg	emu/ROMS/C64/PRG/#/2 Player Super League (1991)(Cult Games)[cr RTI].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2 Worms War (2001)(Christian Schiller).prg	emu/ROMS/C64/PRG/#/2 Worms War (2001)(Christian Schiller).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2-D Cube (19xx)(-).prg	emu/ROMS/C64/PRG/#/2-D Cube (19xx)(-).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/20 Tons (1985)(64 Tape Computing).prg	emu/ROMS/C64/PRG/#/20 Tons (1985)(64 Tape Computing).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/20 Tons (1985)(64 Tape Computing)[cr NO].prg	emu/EXTRAS/C64-PRG-variantes/#/20 Tons (1985)(64 Tape Computing)[cr NO].prg	variante de 20 Tons (1985)(64 Tape Computing).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/20 Tons (1985)(64 Tape Computing)[h ACS].prg	emu/EXTRAS/C64-PRG-variantes/#/20 Tons (1985)(64 Tape Computing)[h ACS].prg	variante de 20 Tons (1985)(64 Tape Computing).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2001 (19xx)(Synapse Software)[cr Datahack LGF].prg	emu/ROMS/C64/PRG/#/2001 (19xx)(Synapse Software)[cr Datahack LGF].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2002 (1984)(Goran Sundin)[h Dins-DNS].prg	emu/ROMS/C64/PRG/#/2002 (1984)(Goran Sundin)[h Dins-DNS].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2010 (19xx)(Wolf Man).prg	emu/ROMS/C64/PRG/#/2010 (19xx)(Wolf Man).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/21 (19xx)(Scott Hossner).prg	emu/ROMS/C64/PRG/#/21 (19xx)(Scott Hossner).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2112 - The Battle for Planet Earth (1992)(Binary Zone)(PD).prg	emu/ROMS/C64/PRG/#/2112 - The Battle for Planet Earth (1992)(Binary Zone)(PD).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/2112 - The Battle for Planet Earth (1992)(Binary Zone)(PD)[h TBT].prg	emu/EXTRAS/C64-PRG-variantes/#/2112 - The Battle for Planet Earth (1992)(Binary Zone)(PD)[h TBT].prg	variante de 2112 - The Battle for Planet Earth (1992)(Binary Zone)(PD).prg
