accion	origen	destino	motivo
MOVIDO	emu/dos/Amazon.zip	emu/ORIGINALES/DOS/Amazon.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Amazon/
EXTRAIDO	emu/dos/American Gladiators.zip	emu/ROMS/DOS/American Gladiators/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/American Gladiators.conf	lanzador de dosbox_svn (seguro: Glad/GLAD.EXE)
MOVIDO	emu/dos/American Gladiators.zip	emu/ORIGINALES/DOS/American Gladiators.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/American Gladiators/
EXTRAIDO	emu/dos/Amnesia.zip	emu/ROMS/DOS/Amnesia/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Amnesia.conf	lanzador de dosbox_svn (seguro: AMNESIA.COM)
MOVIDO	emu/dos/Amnesia.zip	emu/ORIGINALES/DOS/Amnesia.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Amnesia/
EXTRAIDO	emu/dos/Amulets and Armor.zip	emu/ROMS/DOS/Amulets and Armor/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Amulets and Armor.conf	lanzador de dosbox_svn (dudoso: AA.BAT)
MOVIDO	emu/dos/Amulets and Armor.zip	emu/ORIGINALES/DOS/Amulets and Armor.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Amulets and Armor/
EXTRAIDO	emu/dos/An American Tail - Fievel goes West.zip	emu/ROMS/DOS/An American Tail - Fievel goes West/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/An American Tail - Fievel goes West.conf	lanzador de dosbox_svn (dudoso: fievel/AMTAIL.EXE)
MOVIDO	emu/dos/An American Tail - Fievel goes West.zip	emu/ORIGINALES/DOS/An American Tail - Fievel goes West.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/An American Tail - Fievel goes West/
EXTRAIDO	emu/dos/Ancient Domains of Mystery.zip	emu/ROMS/DOS/Ancient Domains of Mystery/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Ancient Domains of Mystery.conf	lanzador de dosbox_svn (seguro: ADOM/ADOM.EXE)
MOVIDO	emu/dos/Ancient Domains of Mystery.zip	emu/ORIGINALES/DOS/Ancient Domains of Mystery.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Ancient Domains of Mystery/
EXTRAIDO	emu/dos/Ancients II - Approaching Evil.zip	emu/ROMS/DOS/Ancients II - Approaching Evil/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Ancients II - Approaching Evil.conf	lanzador de dosbox_svn (seguro: Go.exe)
MOVIDO	emu/dos/Ancients II - Approaching Evil.zip	emu/ORIGINALES/DOS/Ancients II - Approaching Evil.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Ancients II - Approaching Evil/
EXTRAIDO	emu/dos/Annals of Rome.zip	emu/ROMS/DOS/Annals of Rome/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Annals of Rome.conf	lanzador de dosbox_svn (seguro: AR.BAT)
MOVIDO	emu/dos/Annals of Rome.zip	emu/ORIGINALES/DOS/Annals of Rome.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Annals of Rome/
EXTRAIDO	emu/dos/Another World.zip	emu/ROMS/DOS/Another World/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Another World.conf	lanzador de dosbox_svn (seguro: World.exe)
MOVIDO	emu/dos/Another World.zip	emu/ORIGINALES/DOS/Another World.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Another World/
EXTRAIDO	emu/dos/Anvil of Dawn.zip	emu/ROMS/DOS/Anvil of Dawn/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Anvil of Dawn.conf	lanzador de dosbox_svn (seguro: Anvil/Anvil.exe)
